"Year","Month","Day","Station","HaulNum","Excluder","StartTime","EndTime","StartLat","StartLong","EndLat","EndLong","Depth"
2011,"May",19,"WB14",1,"Y",05:56,06:26,46.65,-124.39,46.62,-124.37,77.0
2011,"May",19,"WB14",2,"N",07:57,08:27,46.65,-124.39,46.62,-124.37,77.0
2011,"May",19,"WB14",3,"Y",09:43,10:13,46.65,-124.39,46.62,-124.37,77.0
2011,"May",19,"WB14",4,"N",11:15,11:45,46.66,-124.39,46.63,-124.37,78.0
2011,"May",19,"WB14",5,"N",12:24,12:54,46.63,-124.38,46.65,-124.39,77.0
2011,"May",19,"WB14",6,"Y",13:52,14:22,46.63,-124.37,46.65,-124.39,77.0
2011,"May",19,"WB14",7,"Y",15:10,15:40,46.66,-124.39,46.63,-124.38,79.0
2011,"May",19,"WB14",8,"N",16:45,17:15,46.66,-124.39,46.62,-124.37,80.0
2011,"May",19,"WB14",9,"N",18:21,18:51,46.66,-124.39,46.62,-124.37,77.0
2011,"May",19,"WB14",10,"Y",20:07,20:37,46.65,-124.39,46.62,-124.37,79.0
2011,"May",20,"WB14",11,"N",05:27,05:57,46.66,-124.39,46.62,-124.37,79.0
2011,"May",20,"WB14",12,"Y",06:56,07:26,46.66,-124.39,46.63,-124.37,78.0
2011,"May",20,"WB14",13,"Y",08:05,08:35,46.63,-124.38,46.65,-124.40,77.0
2011,"May",20,"WB14",14,"N",09:29,09:59,46.63,-124.37,46.67,-124.40,76.0
2011,"May",20,"WB14",15,"Y",10:55,11:25,46.66,-124.40,46.63,-124.37,76.0
2011,"May",20,"WB14",16,"N",12:27,12:57,46.66,-124.39,46.62,-124.37,78.0
2011,"May",20,"WB14",17,"Y",14:11,14:41,46.65,-124.39,46.62,-124.37,79.0
2011,"May",20,"WB14",18,"N",15:49,16:19,46.65,-124.39,46.62,-124.37,80.0
2011,"May",20,"WB14",19,"Y",17:24,17:54,46.66,-124.39,46.64,-124.35,80.0
2011,"May",20,"WB14",20,"N",19:00,19:30,46.65,-124.38,46.63,-124.35,80.0
2011,"July",27,"WB09",21,"N",06:28,06:58,46.68,-124.30,46.65,-124.28,56.0
2011,"July",27,"WB09",22,"Y",08:41,09:11,46.68,-124.30,46.65,-124.28,59.0
2011,"July",27,"WB09",23,"Y",10:44,10:59,46.68,-124.30,46.67,-124.29,59.0
2011,"July",27,"WB09",24,"N",12:24,12:39,46.68,-124.30,46.67,-124.29,59.0
2011,"July",27,"WB14",25,"N",13:58,14:13,46.67,-124.40,46.65,-124.39,81.0
2011,"July",27,"WB14",26,"Y",15:10,15:25,46.67,-124.41,46.66,-124.39,81.0
2011,"July",27,"WB14",27,"Y",16:21,16:51,46.68,-124.41,46.65,-124.39,81.0
2011,"July",27,"WB14",28,"N",17:52,18:22,46.68,-124.41,46.65,-124.39,81.0
2011,"July",28,"WB14",29,"N",06:20,06:50,46.67,-124.40,46.63,-124.38,81.0
2011,"July",28,"WB14",30,"Y",08:01,08:31,46.67,-124.41,46.65,-124.39,81.0
2011,"July",28,"WB14",31,"Y",09:50,10:20,46.68,-124.40,46.64,-124.40,81.5
2011,"July",28,"WB14",32,"N",11:28,11:58,46.68,-124.40,46.65,-124.40,81.5
2011,"July",28,"WB14",33,"N",13:03,13:33,46.68,-124.40,46.64,-124.39,81.7
2011,"July",28,"WB14",34,"Y",14:36,15:06,46.68,-124.40,46.64,-124.39,81.2
2011,"July",28,"WB14",35,"Y",16:15,16:45,46.67,-124.40,46.64,-124.39,80.6
2011,"July",28,"WB14",36,"N",17:52,18:22,46.67,-124.40,46.63,-124.39,80.5
2011,"July",28,"WB14",37,"N",19:01,19:31,46.63,-124.39,46.65,-124.40,83.8
2011,"July",28,"WB14",38,"Y",20:16,20:46,46.62,-124.39,46.64,-124.40,84.2
2014,"June/July",29,"WBAM","20N","N",09:51,10:06,46.69,-124.28,46.70,-124.26,56.7
2014,"June/July",29,"WBAM","20Y","Y",15:03,15:18,46.68,-124.31,46.69,-124.31,64.7
2014,"June/July",29,"WBAM","21N","N",11:50,12:05,46.68,-124.30,46.70,-124.31,61.3
2014,"June/July",29,"WBAM","21Y","Y",16:29,16:44,46.68,-124.33,46.69,-124.33,68.0
2014,"June/July",30,"GHAM","22N","N",06:41,06:56,47.00,-124.41,47.03,-124.42,51.2
2014,"June/July",30,"GHAM","22Y","Y",10:11,10:24,47.02,-124.38,47.04,-124.37,46.3
2014,"June/July",30,"GHAM","23N","N",08:29,08:44,47.02,-124.40,47.04,-124.41,48.5
2014,"June/July",30,"GHAM","23Y","Y",11:52,12:07,47.02,-124.36,47.03,-124.35,43.3
2014,"June/July",1,"GHCM","26N","N",06:49,07:02,46.99,-124.28,46.97,-124.28,32.0
2014,"June/July",1,"GHCM","26Y","Y",10:07,10:22,46.99,-124.27,46.97,-124.27,29.6
2014,"June/July",1,"GHCM","27N","N",08:26,08:41,46.99,-124.28,46.97,-124.28,32.0
2014,"June/July",1,"GHCM","27Y","Y",11:45,12:00,46.99,-124.28,46.97,-124.27,31.6
2014,"June/July",1,"GHBM","28N","N",13:41,13:56,47.00,-124.34,46.98,-124.33,40.4
2014,"June/July",1,"GHBM","28Y","Y",16:33,16:48,46.99,-124.37,46.97,-124.37,47.5
2014,"June/July",1,"GHBM","29N","N",15:06,15:21,47.00,-124.35,46.98,-124.35,43.9
2014,"June/July",1,"GHBM","29Y","Y",17:52,18:07,46.99,-124.35,46.97,-124.35,43.9
